Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,126.0,-51.23,90.0,top
D2,SFH_203_PFA,XDCR_SFH_203_PFA,130.0,-58.73,90.0,top
D3,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,97.98,-50.0,180.0,top
D4,SFH_203_PFA,XDCR_SFH_203_PFA,105.2218,-46.5,180.0,top
D5,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,75.825,-51.52,-90.0,top
D6,SFH_203_PFA,XDCR_SFH_203_PFA,72.0909,-58.23,-90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,101.49,-81.23,90.0,bottom
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,122.5,-58.35,90.0,top
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,122.0,-50.5,90.0,top
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,97.35,-54.5,180.0,top
JP4,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,104.15,-54.5,0.0,top
JP5,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,79.5,-51.0,90.0,top
JP6,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,80.0,-58.15,-90.0,top
JP7,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,116.5,-51.15,-90.0,top
JP8,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,102.0,-51.5,-90.0,top
JP9,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,79.85,-46.5,0.0,top
JP10,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,123.0,-76.0,-90.0,top
JP11,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,80.5,-76.85,-90.0,top
JP12,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,89.85,-54.0,0.0,top
JP13,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,123.0,-82.0,-90.0,top
JP14,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,127.85,-82.0,-90.0,top
JP15,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,76.15,-81.5,-90.0,top
JP16,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,127.85,-78.0,-90.0,top
